Observation,Brand,Megapixels,Weight_oz,Brand_code,Price_$,Score
1,Canon,10,7,1,231,74
2,Canon,12,5,1,140,74
3,Canon,12,7,1,210,73
4,Canon,10,6,1,140,70
5,Canon,12,5,1,126,70
6,Canon,12,7,1,140,69
7,Canon,14,5,1,140,68
8,Canon,10,7,1,91,68
9,Canon,12,5,1,91,67
10,Canon,16,5,1,77,63
11,Canon,14,5,1,63,60
12,Canon,10,6,1,70,59
13,Canon,12,7,1,63,54
14,Nikon,16,5,0,189,73
15,Nikon,16,7,0,210,71
16,Nikon,14,6,0,140,69
17,Nikon,14,7,0,280,67
18,Nikon,14,5,0,84,65
19,Nikon,16,6,0,119,64
20,Nikon,12,5,0,105,64
21,Nikon,14,6,0,161,63
22,Nikon,12,6,0,126,61
23,Nikon,12,6,0,91,61
24,Nikon,12,7,0,56,60
25,Nikon,14,7,0,56,58
26,Nikon,12,4,0,70,54
27,Nikon,12,5,0,77,53
28,Nikon,14,4,0,91,50
